feature,importance
lst7TimeIntervalWith10,0.00179262805842
timeVariance37,0.00178707112079
firTimeInterval,0.00178350682645
timeVariance41,0.00177356779989
timeTrans41,0.00177343175907
userid,0.0017704504702
lastActionType_7,0.00176273894511
stdTimeIntervalWith7,0.00172610517585
lst0TimeIntervalWith5,0.00172527691857
actionTrans46,0.00172354063877
maxTimeInterval,0.0016877324669
stdTimeInterval,0.00165918015433
timeTrans58,0.00165913146568
timeTrans21,0.00165081313497
lst0TimeIntervalWith10,0.00164734336014
stdTimeIntervalWith10,0.00159653802936
lst6TimeIntervalWith7,0.0015362910875
timeTrans37,0.00153480576491
lst1TimeIntervalWith3,0.00152382511272
diffActionType6,0.00149085007173
stdTimeIntervalWith3,0.00146660789389
lastThirdActionType_5,0.00146395926319
lst3TimeIntervalWith10,0.00144814720668
lst1TimeIntervalWith7,0.00144545521427
lst5TimeIntervalWith7,0.00142550250773
timeTrans5,0.00141352494609
lst1TimeIntervalWith10,0.00141276385158
maxTimeIntervalWith3,0.00140322015002
lastSecondActionType_6,0.00139529223168
lst1TimeIntervalWith5,0.00138034722107
lst9TimeIntervalWith10,0.0013636361172
avgTimeIntervalWith3,0.00135958969377
actionTrans52,0.00135586785656
timeTrans14,0.00132607108621
lst3TimeIntervalWith7,0.001312887347
lst3TimeIntervalWith5,0.00128580141184
avgTimeIntervalWith7,0.00126487733391
timeVariance5,0.00124220935948
lst5TimeIntervalWith10,0.00124029923924
lst4TimeIntervalWith7,0.00123876915885
lastSecondActionType_5,0.00123164780334
lst4TimeIntervalWith5,0.00120979322625
province32,0.00118975357154
lastThirdActionType_6,0.00116650817482
province4,0.00116290883483
lst2TimeIntervalWith5,0.00115108844555
lastActionType_6,0.00108476132501
actionTrans5,0.00108011807155
lst2TimeIntervalWith7,0.0010620839125
lst2TimeIntervalWith3,0.00103766183275
lst2TimeIntervalWith10,0.00101382652618
timeTrans62,0.00100932651674
oneHodeCode2,0.000935857959196
lst4TimeIntervalWith10,0.000933689501633
timeVariance43,0.000850699662692
timeVariance1,0.000792897593212
actionTrans75,0.000778102963645
actionTrans1,0.000762395255328
province1,0.000709862484915
lastThirdActionType_0,0.000623247930871
lastSecondActionType_0,0.000502492594035
timeTrans80,0.000334059028424
actionTrans17,0.0
actionTrans78,0.0
lastSecondActionType_3,0.0
lastSecondActionType_2,0.0
actionTrans79,0.0
actionTrans18,0.0
lastActionType_9,0.0
lastActionType_8,0.0
actionTrans57,0.0
actionTrans24,0.0
actionTrans81,0.0
lastActionType_4,0.0
lastActionType_3,0.0
actionTrans9,0.0
actionTrans15,0.0
province9,0.0
province8,0.0
province7,0.0
province6,0.0
province5,0.0
actionTrans16,0.0
lastSecondActionType_8,0.0
actionTrans76,0.0
actionTrans66,0.0
actionTrans54,0.0
actionTrans60,0.0
actionTrans45,0.0
actionTrans36,0.0
actionTrans35,0.0
actionTrans63,0.0
actionTrans34,0.0
actionTrans33,0.0
actionTrans65,0.0
actionTrans27,0.0
actionTrans67,0.0
province31,0.0
actionTrans69,0.0
lastThirdActionType_9,0.0
lastThirdActionType_8,0.0
lastThirdActionType_7,0.0
actionTrans26,0.0
actionTrans25,0.0
actionTrans7,0.0
actionTrans70,0.0
actionTrans74,0.0
lastSecondActionType_9,0.0
actionTrans58,0.0
timeTrans15,0.0
province30,0.0
timeVariance47,0.0
timeVariance36,0.0
timeTrans67,0.0
timeTrans66,0.0
timeTrans65,0.0
timeVariance4,0.0
timeTrans63,0.0
timeTrans60,0.0
timeVariance45,0.0
timeTrans57,0.0
timeTrans54,0.0
province3,0.0
timeVariance49,0.0
timeTrans45,0.0
timeTrans36,0.0
timeVariance54,0.0
timeVariance55,0.0
timeVariance56,0.0
timeVariance57,0.0
timeVariance58,0.0
timeTrans35,0.0
timeVariance35,0.0
timeVariance34,0.0
timeVariance33,0.0
timeTrans69,0.0
oneHodeCode5,0.0
timeTrans9,0.0
timeVariance16,0.0
timeVariance17,0.0
timeVariance18,0.0
timeTrans81,0.0
timeTrans79,0.0
timeTrans78,0.0
timeVariance22,0.0
timeTrans76,0.0
timeVariance24,0.0
timeVariance25,0.0
timeVariance26,0.0
timeVariance27,0.0
timeTrans75,0.0
timeTrans74,0.0
timeTrans70,0.0
timeVariance30,0.0
timeTrans7,0.0
timeVariance6,0.0
timeVariance60,0.0
timeVariance61,0.0
timeVariance9,0.0
province11,0.0
timeTrans24,0.0
province13,0.0
province14,0.0
province16,0.0
province17,0.0
province18,0.0
timeTrans18,0.0
province2,0.0
province20,0.0
timeTrans17,0.0
province22,0.0
province23,0.0
timeTrans16,0.0
province25,0.0
province26,0.0
timeVariance12,0.0
province28,0.0
province29,0.0
province10,0.0
timeVariance81,0.0
timeVariance62,0.0
timeVariance80,0.0
timeVariance63,0.0
timeTrans34,0.0
timeVariance65,0.0
timeVariance66,0.0
timeVariance67,0.0
timeTrans33,0.0
timeVariance69,0.0
timeVariance7,0.0
timeVariance70,0.0
timeVariance71,0.0
timeTrans27,0.0
timeTrans26,0.0
timeVariance74,0.0
timeVariance75,0.0
timeVariance76,0.0
timeTrans25,0.0
timeVariance78,0.0
timeVariance79,0.0
timeVariance8,0.0
timeVariance15,0.0
